python main.py agent_result/5k_retrain_1/5k_retrain.pth v2_5k_retrain.pth
Episode  2650 | Slices: 166 | Avg Reward:  111615.60 | Avg Energy:  28945.89 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  2700 | Slices: 167 | Avg Reward:  111758.05 | Avg Energy:  28799.12 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  2750 | Slices: 167 | Avg Reward:  112093.39 | Avg Energy:  28567.68 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  2800 | Slices: 168 | Avg Reward:  112205.16 | Avg Energy:  28422.87 | Invalid:   6 | QoS Violations:  6 | Success Rate:  0.99 | Epsilon: 0.050
Episode  2850 | Slices: 168 | Avg Reward:  112500.47 | Avg Energy:  28916.07 | Invalid:   3 | QoS Violations:  3 | Success Rate:  0.99 | Epsilon: 0.050
Episode  2900 | Slices: 169 | Avg Reward:  112417.03 | Avg Energy:  29399.15 | Invalid:   1 | QoS Violations:  1 | Success Rate:  0.99 | Epsilon: 0.050
Episode  2950 | Slices: 169 | Avg Reward:  113337.57 | Avg Energy:  28795.13 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  3000 | Slices: 170 | Avg Reward:  113540.21 | Avg Energy:  28431.05 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  3050 | Slices: 170 | Avg Reward:  113942.23 | Avg Energy:  29037.97 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  3100 | Slices: 171 | Avg Reward:  114269.27 | Avg Energy:  29179.57 | Invalid:   2 | QoS Violations:  2 | Success Rate:  0.99 | Epsilon: 0.050
Episode  3150 | Slices: 171 | Avg Reward:  114942.22 | Avg Energy:  28895.04 | Invalid:   1 | QoS Violations:  1 | Success Rate:  0.99 | Epsilon: 0.050
Episode  3200 | Slices: 172 | Avg Reward:  114974.82 | Avg Energy:  28865.61 | Invalid:   4 | QoS Violations:  4 | Success Rate:  0.99 | Epsilon: 0.050
Episode  3250 | Slices: 172 | Avg Reward:  115803.43 | Avg Energy:  28961.37 | Invalid:   4 | QoS Violations:  4 | Success Rate:  0.99 | Epsilon: 0.050
Episode  3300 | Slices: 173 | Avg Reward:  115835.75 | Avg Energy:  29267.38 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  3350 | Slices: 173 | Avg Reward:  116164.33 | Avg Energy:  29329.30 | Invalid:   7 | QoS Violations:  7 | Success Rate:  0.99 | Epsilon: 0.050
Episode  3400 | Slices: 174 | Avg Reward:  116304.97 | Avg Energy:  29078.04 | Invalid:   2 | QoS Violations:  2 | Success Rate:  0.99 | Epsilon: 0.050
Episode  3450 | Slices: 174 | Avg Reward:  116186.25 | Avg Energy:  29282.88 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.98 | Epsilon: 0.050
Episode  3500 | Slices: 175 | Avg Reward:  116432.08 | Avg Energy:  29585.11 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.99 | Epsilon: 0.050
Episode  3550 | Slices: 175 | Avg Reward:  117046.73 | Avg Energy:  29113.93 | Invalid:   1 | QoS Violations:  1 | Success Rate:  0.98 | Epsilon: 0.050
Episode  3600 | Slices: 176 | Avg Reward:  116997.33 | Avg Energy:  29768.21 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.98 | Epsilon: 0.050
Episode  3650 | Slices: 176 | Avg Reward:  117830.26 | Avg Energy:  29366.18 | Invalid:   2 | QoS Violations:  2 | Success Rate:  0.99 | Epsilon: 0.050
Episode  3700 | Slices: 177 | Avg Reward:  117789.34 | Avg Energy:  29267.03 | Invalid:   5 | QoS Violations:  5 | Success Rate:  0.98 | Epsilon: 0.050
Episode  3750 | Slices: 177 | Avg Reward:  117834.11 | Avg Energy:  29409.91 | Invalid:   5 | QoS Violations:  5 | Success Rate:  0.98 | Epsilon: 0.050
Episode  3800 | Slices: 178 | Avg Reward:  118009.77 | Avg Energy:  29626.79 | Invalid:  15 | QoS Violations: 15 | Success Rate:  0.98 | Epsilon: 0.050
Episode  3850 | Slices: 178 | Avg Reward:  118027.52 | Avg Energy:  29532.96 | Invalid:   8 | QoS Violations:  8 | Success Rate:  0.97 | Epsilon: 0.050
Episode  3900 | Slices: 179 | Avg Reward:  118307.55 | Avg Energy:  29432.69 | Invalid:   9 | QoS Violations:  9 | Success Rate:  0.98 | Epsilon: 0.050
Episode  3950 | Slices: 179 | Avg Reward:  118816.64 | Avg Energy:  29123.41 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.97 | Epsilon: 0.050
Episode  4000 | Slices: 180 | Avg Reward:  119114.49 | Avg Energy:  29797.82 | Invalid:  14 | QoS Violations: 14 | Success Rate:  0.98 | Epsilon: 0.050
