Episode 88 | Avg Reward: -2013.60 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.557
Episode 89 | Avg Reward: -2022.50 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.553
Episode 90 | Avg Reward: -2031.49 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.548
Episode 91 | Avg Reward: -2031.97 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.544
Episode 92 | Avg Reward: -915.54 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.539
Episode 93 | Avg Reward: -2006.09 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.535
Episode 94 | Avg Reward: -2042.50 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.531
Episode 95 | Avg Reward: -2034.03 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.527
Episode 96 | Avg Reward: -2034.52 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.522
Episode 97 | Avg Reward: -2006.86 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.518
Episode 98 | Avg Reward: -2025.95 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.514
Episode 99 | Avg Reward: -2016.77 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.510
Episode 100 | Avg Reward: -2065.29 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.506
Episode 101 | Avg Reward: -2017.34 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.502
Episode 102 | Avg Reward: -2037.25 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.498
