(.venv) └  ~/workspace/python_workspace/network_slicing_vnf_placement/dql_vnf_placement  M › U › 𝗈𝗇 › barabasi_network
 › python main.py
Episode 3700 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3750 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3800 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3850 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3900 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 3950 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4000 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4050 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4100 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4150 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4200 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4250 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4300 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4350 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4400 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4450 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4500 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4550 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4600 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4650 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4700 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4750 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4800 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4850 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4900 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Episode 4950 | Avg Reward: 0.00 | Avg Energy: 0.00 | Invalid: 5 | QoS Violations: 0 | Success Rate: 0.00 | Epsilon: 0.700
Training completed. Model saved to dqn_agent.pth
