python main.py agent_result/BEST_AGENT_5K/dqn_agent.pth v_1_retrain_log_10k.pth
Episode  3450 | Slices: 200 | Avg Reward:  135675.56 | Avg Energy:  32649.10 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3500 | Slices: 200 | Avg Reward:  135672.11 | Avg Energy:  32405.32 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3550 | Slices: 200 | Avg Reward:  135602.14 | Avg Energy:  32912.96 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3600 | Slices: 200 | Avg Reward:  135647.88 | Avg Energy:  32713.23 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3650 | Slices: 200 | Avg Reward:  135657.75 | Avg Energy:  32669.88 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3700 | Slices: 200 | Avg Reward:  135668.90 | Avg Energy:  32560.17 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3750 | Slices: 200 | Avg Reward:  135702.52 | Avg Energy:  32492.42 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3800 | Slices: 200 | Avg Reward:  135683.48 | Avg Energy:  32642.68 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3850 | Slices: 200 | Avg Reward:  135636.71 | Avg Energy:  32684.94 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3900 | Slices: 200 | Avg Reward:  135708.91 | Avg Energy:  32572.07 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  3950 | Slices: 200 | Avg Reward:  135616.42 | Avg Energy:  32984.04 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
